device,mac,connection,device_name
TV_Smart,44:65:0d:82:e2:08,Wireless,Falso_TV_Smart_Panasonic
TV_Smart,00:24:e4:b9:c7:52,Wireless,Falso_TV_Smart_Panasonic
Camera,74:6a:89:6e:c7:95,Wireless,Falso_Camera_de_Seguranca_Interna_1
Smartphone,d0:73:d5:2a:00:f4,Wireless,Falso_Smartphone_Motorola
Videogame,70:ee:50:55:de:51,Wireless,Falso_Playstation_5
Camera,f4:f2:6d:30:8d:ec,Wireless,Falso_Camera_de_Seguranca_Externa_2
Camera,00:16:6c:f0:1b:f8,Wireless,Falso_Camera_de_Seguranca_Externa_1
Videogame,30:8c:fb:dd:ef:9a,Wireless,Falso_Playstation_4
Camera,00:62:6e:9a:fc:43,Wireless,Falso_Camera_de_Seguranca_Interna_1
Videogame,30:8c:fb:ed:86:2c,Wireless,Falso_Xbox_Series_X
TV_Smart,d0:52:a8:89:b1:9c,Wireless,Falso_TV_Smart_LG
Sensor,e8:ab:fa:d4:1e:30,Wireless,Falso_Sensor_de_Temperatura
Videogame,00:24:e4:8d:97:ce,Wireless,Falso_Xbox_Series_X
Camera,14:cc:20:fe:e3:e4,Wireless,Falso_Camera_de_Seguranca_Externa_2
TV_Smart,74:c6:3b:78:71:e6,Wireless,Falso_TV_Smart_Panasonic
Camera,74:2f:68:e1:7f:f8,Wireless,Falso_Camera_de_Seguranca_Externa_2
Videogame,ac:bc:32:e8:7d:68,Wireless,Falso_Xbox_Series_S
Videogame,f4:5c:89:8c:0d:81,Wireless,Falso_Xbox_Series_S
Sensor,ec:1a:59:2d:ab:9e,Wireless,Falso_Sensor_de_Movimento
Smartphone,40:f3:08:9c:88:47,Wireless,Falso_Smartphone_Samsung
Sensor,d0:a6:37:65:1a:14,Wireless,Falso_Sensor_de_Umidade
Camera,e0:76:d0:e5:b6:26,Wireless,Falso_Camera_de_Seguranca_Interna_1
Smartphone,70:5a:0f:be:d6:ed,Wireless,Falso_Smartphone_Motorola
Sensor,00:24:e4:77:83:cd,Wireless,Falso_Sensor_de_Umidade
Videogame,18:b4:30:30:18:c9,Wireless,Falso_Playstation_5
Sensor,18:b7:9e:1a:c4:02,Wireless,Falso_Sensor_de_Movimento
Camera,50:c7:bf:fc:6b:8b,Wireless,Falso_Camera_de_Seguranca_Interna_1
Sensor,08:21:ef:06:76:47,Wireless,Falso_Sensor_de_Umidade
TV_Smart,70:ee:50:05:10:1c,Wireless,Falso_TV_Smart_Philco
Sensor,ec:1a:59:2c:a7:b5,Wireless,Falso_Sensor_de_Temperatura
