device,mac,connection,device_name
Camera,44:65:0d:a0:07:64,Wireless,Fake0
XBox,00:24:e4:2e:8b:1d,Wireless,Fake1
Samsung_SmartCam,74:6a:89:7a:69:85,Wireless,Fake2
Sensor,d0:73:d5:0c:19:e7,Wireless,Fake3
Laptop,70:ee:50:e8:a8:96,Wireless,Fake4
Videogame,f4:f2:6d:b8:67:1a,Wireless,Fake5
Dropcam,00:16:6c:ea:e9:38,Wireless,Fake6
Playstation,30:8c:fb:24:48:0c,Wireless,Fake7
Sensor,00:62:6e:61:fd:eb,Wireless,Fake8
Sensor_Movimento,30:8c:fb:e6:ac:88,Wireless,Fake9
IPhone,d0:52:a8:38:75:88,Wireless,Fake10
Dropcam,e8:ab:fa:26:04:29,Wireless,Fake11
Smartphone,00:24:e4:fd:71:a4,Wireless,Fake12
Camera,14:cc:20:1b:98:36,Wireless,Fake13
Samsung_SmartCam,74:c6:3b:0c:83:11,Wireless,Fake14
Dropcam,74:2f:68:90:1d:1e,Wireless,Fake15
Playstation,ac:bc:32:62:8c:a8,Wireless,Fake16
EchoDot,f4:5c:89:33:86:c3,Wireless,Fake17
Smartphone,ec:1a:59:23:0e:7c,Wireless,Fake18
Dropcam,40:f3:08:41:e5:32,Wireless,Fake19
Samsung_SmartCam,b4:ce:f6:b2:85:1d,Wireless,Fake20
XBox,d0:a6:37:2d:e7:74,Wireless,Fake21
Android_Phone,e0:76:d0:9a:bb:be,Wireless,Fake22
Sensor,70:5a:0f:d5:27:26,Wireless,Fake23
Android_Phone,00:24:e4:6c:0d:37,Wireless,Fake24
Sensor,18:b4:30:f8:c9:19,Wireless,Fake25
TV_Smart,18:b7:9e:e2:83:b8,Wireless,Fake26
Windows_Phone,50:c7:bf:3d:7d:b5,Wireless,Fake27
IPhone,08:21:ef:30:83:58,Wireless,Fake28
EchoDot,70:ee:50:e0:a4:9d,Wireless,Fake29
Android_Phone,ec:1a:59:17:3e:3b,Wireless,Fake30
Playstation,44:65:0d:18:26:94,Wireless,Fake0
Samsung_SmartCam,00:24:e4:0f:4f:7b,Wireless,Fake1
Samsung_SmartCam,74:6a:89:22:fc:12,Wireless,Fake2
Windows_Phone,d0:73:d5:d4:da:67,Wireless,Fake3
Sensor,70:ee:50:80:a1:bd,Wireless,Fake4
Samsung_SmartCam,f4:f2:6d:58:58:a4,Wireless,Fake5
Sensor_Luminosidade,00:16:6c:ea:38:9c,Wireless,Fake6
Sensor_Luminosidade,30:8c:fb:e3:a6:b9,Wireless,Fake7
Samsung_SmartCam,00:62:6e:f6:c9:5e,Wireless,Fake8
Smartphone,30:8c:fb:6e:f0:52,Wireless,Fake9
IPhone,d0:52:a8:fa:8e:0c,Wireless,Fake10
Smartphone,e8:ab:fa:22:f7:54,Wireless,Fake11
Windows_Phone,00:24:e4:3c:e8:6e,Wireless,Fake12
XBox,14:cc:20:2a:a5:b9,Wireless,Fake13
XBox,74:c6:3b:af:be:b3,Wireless,Fake14
Dropcam,74:2f:68:25:3c:13,Wireless,Fake15
Windows_Phone,ac:bc:32:6f:2a:5e,Wireless,Fake16
Dropcam,f4:5c:89:eb:e6:d0,Wireless,Fake17
Camera,ec:1a:59:c8:1f:9c,Wireless,Fake18
Sensor,40:f3:08:0e:93:3e,Wireless,Fake19
Playstation,b4:ce:f6:7f:e1:df,Wireless,Fake20
Android_Phone,d0:a6:37:eb:93:65,Wireless,Fake21
Android_Phone,e0:76:d0:85:81:e2,Wireless,Fake22
Windows_Phone,70:5a:0f:f3:89:f0,Wireless,Fake23
XBox,00:24:e4:1c:e2:c7,Wireless,Fake24
